H, 0.32	,,   	
He, 0.46 ,,  
Li, 1.33, 1.24,  
Be, 1.02, 0.90, 0.85
B, 0.85, 0.78, 0.73
C, 0.75, 0.67, 0.60
N, 0.71, 0.60, 0.54
O, 0.63, 0.57, 0.53
F, 0.64, 0.59, 0.53
Ne, 0.67, 0.96,  
Na, 1.55, 1.60,  
Mg, 1.39, 1.32, 1.27
Al, 1.26, 1.13, 1.11
Si, 1.16, 1.07, 1.02
P, 1.11, 1.02, 0.94
S, 1.03, 0.94, 0.95
Cl, 0.99, 0.95, 0.93
Ar, 0.96, 1.07, 0.96
K, 1.96, 1.93,  
Ca, 1.71, 1.47, 1.33
Sc, 1.48, 1.16, 1.14
Ti, 1.36, 1.17, 1.08
V, 1.34, 1.12, 1.06
Cr, 1.22, 1.11, 1.03
Mn, 1.19, 1.05, 1.03
Fe, 1.16, 1.09, 1.02
Co, 1.11, 1.03, 0.96 
Ni, 1.10, 1.01, 1.01
Cu, 1.12, 1.15, 1.20
Zn, 1.18, 1.20,  
Ga, 1.24, 1.17, 1.21
Ge, 1.21, 1.11, 1.14
As, 1.21, 1.14, 1.06
Se, 1.16, 1.07, 1.07
Br, 1.14, 1.09, 1.10
Kr, 1.17, 1.21, 1.08
Rb, 2.1, 2.02,  
Sr, 1.85, 1.57, 1.39
Y, 1.63, 1.3, 1.24
Zr, 1.54, 1.27, 1.21
Nb, 1.47, 1.25, 1.16
Mo, 1.38, 1.21, 1.13
Tc, 1.28, 1.2, 1.1
Ru, 1.25, 1.14, 1.03
Rh, 1.25, 1.1, 1.06
Pd, 1.2, 1.17, 1.12
Ag, 1.28, 1.39, 1.37
Cd, 1.36, 1.44,  
In, 1.42, 1.36, 1.46
Sn, 1.4, 1.3, 1.32
Sb, 1.4, 1.33, 1.27
Te, 1.36, 1.28, 1.21
I, 1.33, 1.29, 1.25
Xe, 1.31, 1.35, 1.22
Cs, 2.32, 2.09,  
Ba, 1.96, 1.61, 1.49
La, 1.8, 1.39, 1.39
Ce, 1.63, 1.37, 1.31
Pr, 1.76, 1.38, 1.28
Nd, 1.74, 1.37,  
Pm, 1.73, 1.35,  
Sm, 1.72, 1.34,  
Eu, 1.68, 1.34,  
Gd, 1.69, 1.35, 1.32
Tb, 1.68, 1.35,  
Dy, 1.67, 1.33,  
Ho, 1.66, 1.33,  
Er, 1.65, 1.33,  
Tm, 1.64, 1.31,  
Yb, 1.7, 1.29,  
Lu, 1.62, 1.31, 1.31
Hf, 1.52, 1.28, 1.22
Ta, 1.46, 1.26, 1.19
W, 1.37, 1.2, 1.15
Re, 1.31, 1.19, 1.1
Os, 1.29, 1.16, 1.09
Ir, 1.22, 1.15, 1.07
Pt, 1.23, 1.12, 1.1
Au, 1.24, 1.21, 1.23
Hg, 1.33, 1.42,  
Tl, 1.44, 1.42, 1.5
Pb, 1.44, 1.35, 1.37
Bi, 1.51, 1.41, 1.35
Po, 1.45, 1.35, 1.29
At, 1.47, 1.38, 1.38
Rn, 1.42, 1.45, 1.33
Fr, 2.23, 2.18,  
Ra, 2.01, 1.73, 1.59
Ac, 1.86, 1.53, 1.4
Th, 1.75, 1.43, 1.36
Pa, 1.69, 1.38, 1.29
U, 1.7, 1.34, 1.18
Np, 1.71, 1.36, 1.16
Pu, 1.72, 1.35,  
Am, 1.66, 1.35,  
Cm, 1.66, 1.36,  
Bk, 1.66, 1.39,  
Cf, 1.68, 1.4,  
Es, 1.65, 1.4,  
Fm, 1.67,  ,  
Md, 1.73, 1.39,  
No, 1.76, 1.59,  
Lr, 1.61, 1.41,  
Rf, 1.57, 1.4, 1.31
Db, 1.49, 1.36, 1.26
Sg, 1.43, 1.28, 1.21
Bh, 1.41, 1.28, 1.19
Hs, 1.34, 1.25, 1.18
Mt, 1.29, 1.25, 1.13
Ds, 1.28, 1.16, 1.12
Rg, 1.21, 1.16, 1.18
Cn, 1.22, 1.37, 1.3
Uut, 1.36,  ,  
Uuq, 1.43,  ,  
Uup, 1.62,  ,  
Uuh, 1.75,  ,  
Uus, 1.65,  ,  
Uuo, 1.57,  ,  
